Cloud_Resource_ID,CPU_Utilization (%),Memory_Utilization (%),Network_Traffic (Mbps),Storage_Usage (GB),Auto-Scaling_Action,Scaling_Reason,Deep_Learning_Model,Model_Training_Time (hours),Model_Accuracy (%),Workload_Response_Time (ms),Auto-Scaling_Effectiveness,Auto-Scaling_Decision,Resource_Allocation (%),Auto-Scaling_Policy,Training_Data_Size (GB),Learning_Rate,Activation_Function,Loss_Function,Epochs_Trained
42,60.72403975,44.46119093,531.1979893,487.4173401,Scale Down,High Network Traffic,RNN,8.380207994,92.40049861,76.84453066,28.53171482,Scale Down,0.792559797,Reactive,6.650502722,0.004707295,ReLU,Cross-Entropy,36
43,66.01061063,22.00495954,504.508403,476.6228486,No Action,High Network Traffic,LSTM,10.06853334,88.43749919,92.09894173,89.51054418,Scale Down,32.79337126,Threshold-based,98.19321678,0.003308921,Tanh,Cross-Entropy,79
44,26.51841929,70.48380601,44.6762832,335.7853652,Scale Down,High Network Traffic,LSTM,22.26510283,65.18230715,39.9657947,6.227893482,No Action,94.32047406,Reactive,79.41807228,0.00398891,Tanh,Cross-Entropy,48
45,49.58836133,5.787702539,336.3348253,845.2149837,No Action,High Memory Usage,GAN,5.866949824,50.582298,99.99476107,69.24411219,No Action,80.17469071,Threshold-based,12.01325358,0.007375171,Sigmoid,Cross-Entropy,11
46,98.99704608,5.127525625,450.8542696,45.87013449,No Action,High Memory Usage,GAN,15.1333007,86.40789295,99.06113565,1.090146065,Scale Up,23.00632362,Threshold-based,93.81335743,0.002589661,Sigmoid,MSE,92
47,65.48380906,59.55489297,986.1499605,869.5135669,Scale Down,High CPU Usage,CNN,5.640367368,56.53042943,97.09937348,65.13884993,Scale Down,18.49027256,Reactive,66.38713409,0.0094783,ReLU,MSE,18
48,47.17016539,94.39666453,545.0014082,295.6106915,Scale Down,High Network Traffic,LSTM,22.47055142,72.95313951,17.95806693,90.47896214,Scale Down,62.78723987,Predictive,38.89242831,0.003950173,ReLU,MAE,22
49,53.11321838,31.92871825,611.5095346,408.5388898,Scale Up,High Memory Usage,GAN,3.50926652,88.94839387,91.77499099,87.51591793,Scale Down,87.72644495,Predictive,84.53213086,0.006910638,Sigmoid,MAE,3
50,15.62505334,54.22687323,856.3572182,753.2580853,Scale Up,High Network Traffic,RNN,5.399168714,79.2368889,52.6452324,66.81556412,Scale Down,28.28676177,Predictive,22.04192486,0.006732898,ReLU,Cross-Entropy,29
51,75.15716881,14.9935143,66.68667936,951.4387991,Scale Up,High CPU Usage,RNN,9.148387751,55.94337878,33.15454315,18.96414692,Scale Down,31.22409721,Reactive,55.20728962,0.008586426,Leaky ReLU,Cross-Entropy,24
52,97.99171383,2.453932045,101.2557016,591.4325437,Scale Up,High Memory Usage,LSTM,9.894029811,96.34748135,18.29069455,98.90614812,No Action,18.6585174,Predictive,37.03823088,0.004134257,Sigmoid,Cross-Entropy,35
53,76.64145012,12.31900487,373.3179885,213.6369571,Scale Down,High CPU Usage,CNN,10.62568624,87.4248583,19.17422443,54.59650953,Scale Up,17.45897429,Reactive,55.05526035,0.007616069,Sigmoid,MSE,17
54,80.60188087,3.497820023,616.1873392,246.2463266,Scale Down,High CPU Usage,RNN,7.290862857,63.513508,71.08017915,35.44287943,No Action,81.88094945,Reactive,84.00024444,0.003265686,Leaky ReLU,MSE,34
55,41.73925694,65.46169246,146.8218348,279.4579445,Scale Up,High Network Traffic,RNN,10.55952312,50.36490609,23.5229071,20.48455627,No Action,57.96543191,Threshold-based,11.2513941,0.004109605,Leaky ReLU,Cross-Entropy,74
56,16.06547999,85.2075287,630.2339323,347.8000098,No Action,High Network Traffic,LSTM,19.57401509,89.05895545,92.66926895,45.02865617,Scale Down,68.68879747,Reactive,41.27484681,0.00543322,ReLU,MSE,23
57,36.87371661,12.85190708,269.8088446,958.1932076,No Action,High Network Traffic,GAN,5.545902951,60.73879722,5.232896209,66.20847425,Scale Up,67.42724431,Predictive,68.01151549,0.008325019,Leaky ReLU,Cross-Entropy,83
58,51.89942032,90.50211925,780.2389042,604.479715,No Action,High CPU Usage,RNN,9.773342341,62.21629853,93.71553963,36.73810848,No Action,7.794993213,Reactive,79.56863364,0.009301979,Sigmoid,MAE,31
59,94.19545477,78.15496899,104.7987616,975.0889561,Scale Down,High CPU Usage,GAN,20.97034042,53.35320955,81.71113529,24.727803,Scale Up,19.89035412,Reactive,95.7391402,0.008475158,ReLU,Cross-Entropy,19
60,59.33187308,26.22674274,336.5292487,875.6310961,No Action,High Network Traffic,LSTM,15.23315202,53.18578005,44.04398435,78.09384503,Scale Down,91.66360529,Reactive,65.80126025,0.007606846,Tanh,Cross-Entropy,44
61,43.23979795,38.15122054,508.6207925,390.0708673,Scale Up,High Network Traffic,CNN,11.02448281,93.03091353,72.13249354,46.27879154,No Action,23.58290654,Reactive,47.94924603,0.005076787,Sigmoid,Cross-Entropy,78
62,96.82258527,75.59866298,537.5803985,524.2140144,Scale Down,High CPU Usage,CNN,3.876850261,86.22323724,26.28831155,13.41794693,No Action,35.20554071,Reactive,52.88364955,0.003868231,ReLU,MAE,64
63,84.18006259,45.87763886,455.425571,91.66160918,Scale Up,High Network Traffic,CNN,8.235998033,81.25351402,13.02035337,2.651828903,No Action,90.51205169,Predictive,25.19146271,0.00277436,Sigmoid,MSE,3
64,55.14091763,1.040252578,103.9932653,631.9296254,No Action,High Network Traffic,RNN,7.153551524,90.88915069,59.82033659,87.17734805,Scale Down,66.47406349,Predictive,63.76192988,0.001180444,Leaky ReLU,MSE,79
65,86.70656897,88.37065201,856.6646952,81.46605374,No Action,High CPU Usage,RNN,4.7326994,65.13789677,2.545144147,95.31381611,Scale Down,19.30982543,Predictive,9.151031933,0.002810259,Tanh,MAE,27
66,66.2597422,3.914679921,814.9433204,310.6734538,Scale Down,High Network Traffic,LSTM,12.90074908,66.44447758,56.5745893,53.8277037,Scale Up,32.61454009,Threshold-based,19.71484971,0.002120741,Tanh,Cross-Entropy,77
67,81.73825025,34.52081755,720.4270244,229.1465837,Scale Up,High Network Traffic,CNN,16.50225354,68.99195566,95.26537233,47.44863176,No Action,89.37093831,Threshold-based,68.99273629,0.00399988,ReLU,MSE,8
68,93.08548106,35.24857915,547.034861,716.2688267,Scale Up,High Network Traffic,CNN,9.71287805,50.07663841,94.86922999,29.53472227,Scale Down,38.26790834,Reactive,14.11002405,0.003093875,Leaky ReLU,MAE,89
69,2.313564409,62.65420915,375.0029828,878.7022696,Scale Up,High CPU Usage,CNN,6.138349068,88.38155472,79.46512471,33.07948844,No Action,64.19735253,Reactive,34.95094602,0.006205445,Tanh,MSE,94
70,35.68188959,11.4218377,421.1004284,581.2473677,Scale Down,High CPU Usage,GAN,7.897576888,55.96577554,15.14027436,93.44956661,Scale Up,15.53138075,Predictive,73.45581283,0.005453836,ReLU,MAE,99
71,42.04351692,12.38498981,68.94558249,515.3524502,Scale Up,High CPU Usage,CNN,22.36782174,59.66833677,87.98912667,77.05356027,No Action,12.55706763,Threshold-based,85.97582177,0.00167309,Leaky ReLU,MAE,71
72,74.9522644,78.97441948,269.0026815,511.768491,Scale Up,High Memory Usage,GAN,9.124642503,74.8066225,65.61477015,10.39667788,Scale Down,69.90235896,Predictive,4.034576792,0.004423441,ReLU,Cross-Entropy,20
73,99.39573368,55.0225614,184.6052914,168.6048607,Scale Up,High CPU Usage,GAN,9.227995029,74.23612347,16.58516887,15.19555945,No Action,90.93947356,Reactive,8.819942812,0.003442333,Leaky ReLU,MSE,40
74,53.74888197,18.35864321,210.7157455,783.1994403,No Action,High Network Traffic,LSTM,16.2744007,85.95462028,33.36681682,71.37934359,No Action,21.93502308,Threshold-based,35.78441764,0.004040639,Tanh,MSE,90
75,95.90863657,24.35218111,341.7764949,661.753682,No Action,High Network Traffic,RNN,9.628180665,70.31337071,8.384506481,77.29087889,Scale Down,39.70063958,Threshold-based,98.34309807,0.004406987,ReLU,MAE,65
76,72.84286823,0.548013281,288.5534358,41.71609629,Scale Up,High Network Traffic,GAN,18.2569409,55.91002607,67.92407586,74.4955315,Scale Down,38.29224208,Reactive,97.87257722,0.008870174,Sigmoid,Cross-Entropy,89
77,50.83782995,78.35854658,766.0832093,696.9700015,Scale Up,High CPU Usage,RNN,21.25775172,57.3153438,97.64452432,90.17495517,Scale Down,0.659939483,Reactive,57.21209335,0.003096005,ReLU,MAE,90
78,73.53456028,27.93636253,61.48582325,87.33901306,No Action,High Network Traffic,RNN,17.80803683,72.40361183,13.34674867,74.17960391,Scale Down,11.29103195,Reactive,52.97242976,0.002723072,Tanh,MSE,41
79,68.73110484,88.54499227,303.4282134,103.7592038,No Action,High Network Traffic,RNN,15.61891443,68.93590651,39.45214445,17.05416238,Scale Up,35.90451607,Reactive,1.416673922,0.006941934,Sigmoid,MSE,82
80,74.58105217,35.90148696,184.1527332,926.331483,No Action,High CPU Usage,CNN,9.280596053,66.38444447,62.62391328,82.00490779,Scale Up,59.4557422,Threshold-based,90.65517917,0.002325336,Tanh,Cross-Entropy,52
81,80.46536566,35.31299585,198.5990157,729.2203857,No Action,High Network Traffic,LSTM,21.18082045,64.42347429,21.57239479,16.01662686,Scale Up,2.107420526,Threshold-based,21.01070598,0.003944598,Leaky ReLU,MSE,18
82,46.89075956,66.22755666,236.913527,950.6528632,Scale Up,High CPU Usage,GAN,8.776929664,68.75795079,55.3214858,99.70055836,Scale Down,74.18734961,Predictive,65.94048981,0.004395996,Leaky ReLU,Cross-Entropy,38
83,1.8009077,48.72485563,544.0185268,836.7092107,Scale Up,High Network Traffic,RNN,1.674665363,62.93258651,13.82499869,42.55808597,Scale Down,89.87150908,Threshold-based,13.66319209,0.00428533,ReLU,Cross-Entropy,7
84,93.59226968,51.7450676,455.0497065,756.465196,Scale Up,High Network Traffic,LSTM,18.83474029,63.46964295,16.58489267,54.04044744,No Action,41.03589591,Threshold-based,17.00061551,0.008216271,Sigmoid,MAE,96
85,13.14635944,80.2760739,719.2489408,4.099153487,Scale Up,High Network Traffic,CNN,18.70947654,56.59172825,17.49317793,23.30290792,Scale Up,71.08055854,Reactive,48.16571461,0.008819661,Tanh,MAE,21
86,23.81845893,20.54011901,362.3437115,36.84017402,Scale Down,High Network Traffic,GAN,17.06389692,76.54873623,67.95189582,95.05162733,No Action,52.50990912,Predictive,56.95063479,0.006647672,Sigmoid,MSE,29
87,58.5868886,57.54740933,961.2372725,825.964518,Scale Up,High Network Traffic,GAN,12.16289491,50.86698774,49.5149136,5.530676874,Scale Down,54.86881651,Threshold-based,44.08344292,0.009235541,Sigmoid,MAE,49
88,43.36425936,54.76201428,838.1197701,390.674676,Scale Up,High Memory Usage,CNN,11.4918489,55.82289176,16.2309169,41.94736714,Scale Down,10.80823238,Reactive,85.39307767,0.004892513,Sigmoid,Cross-Entropy,16
89,67.60806811,4.257923955,152.7495855,202.5855817,Scale Down,High CPU Usage,RNN,23.2076145,63.97663399,43.26390222,34.50912988,Scale Down,56.457548,Threshold-based,30.44566684,0.001182893,Tanh,MAE,32
90,36.81634054,41.81957388,928.0943458,516.3750463,Scale Down,High Memory Usage,CNN,9.334911365,60.70179139,39.59318295,71.70644904,No Action,53.64133698,Reactive,7.077826663,0.002892932,ReLU,MAE,48
91,11.14658618,6.861269028,285.0653336,762.205199,No Action,High Network Traffic,RNN,21.06198808,92.40392251,36.65156862,61.94914966,Scale Down,29.996877,Threshold-based,49.60211068,0.008357236,ReLU,Cross-Entropy,24
92,52.40908742,48.32485064,251.4662154,170.3533278,Scale Up,High Network Traffic,GAN,2.986518157,96.7544722,11.27003052,94.90645396,Scale Down,46.14870666,Threshold-based,62.63522241,0.006779444,Tanh,MSE,58
93,49.72076186,9.549179111,466.4792894,919.5088024,Scale Up,High Network Traffic,RNN,4.563372865,80.21710515,72.51213703,10.93066655,No Action,1.581185936,Reactive,34.40328526,0.004408307,Tanh,Cross-Entropy,76
94,1.744101074,2.176915926,499.1937975,37.17948147,Scale Up,High Network Traffic,GAN,3.300056621,54.42390962,10.97407172,79.04776906,Scale Down,43.39346153,Predictive,72.89403958,0.005134037,ReLU,MSE,46
95,56.31808444,0.435912686,89.88476182,76.20016449,Scale Down,High CPU Usage,CNN,6.654466335,92.48651538,34.72401742,40.28687276,No Action,91.65210577,Threshold-based,77.09600925,0.007021437,Leaky ReLU,MSE,28
96,1.655454863,30.70926099,381.7793024,303.3144745,No Action,High CPU Usage,LSTM,14.47737343,58.22783887,18.17509226,63.45980768,Scale Up,5.752030378,Predictive,49.02155922,0.009448093,ReLU,MSE,60
97,93.66646474,41.76618769,304.3157254,836.8191578,Scale Down,High CPU Usage,CNN,23.46832542,73.32979094,53.35524946,45.2618384,No Action,16.32732007,Reactive,85.33029622,0.002007041,ReLU,MAE,67
98,98.58541431,75.05244808,888.7355238,742.8395962,Scale Up,High Memory Usage,CNN,18.24466164,52.6707236,60.26752977,19.91946955,Scale Down,40.73470963,Reactive,31.86958406,0.006451818,Tanh,MAE,76
99,66.47128613,47.63919652,722.0727886,623.4976378,Scale Up,High Memory Usage,RNN,3.679970895,94.80875485,2.808413052,90.96893839,Scale Up,23.45521397,Threshold-based,66.97023755,0.003466057,Tanh,Cross-Entropy,32
100,6.835919905,21.0645328,298.1875428,853.2757584,Scale Down,High CPU Usage,LSTM,3.679011105,60.61790551,48.30025433,11.21199277,No Action,28.86936037,Reactive,34.26763231,0.003078901,Leaky ReLU,MAE,50
101,83.16408208,0.86681476,151.9370552,591.1139907,Scale Down,High CPU Usage,LSTM,12.90725679,67.74204399,22.35585702,81.29985192,Scale Down,35.12760407,Threshold-based,52.96788144,0.001008665,ReLU,MAE,5
102,48.36120202,90.91422971,277.9572192,98.73455205,No Action,High Memory Usage,GAN,14.27248818,83.90226684,62.66342179,20.47475963,Scale Down,94.7913272,Threshold-based,35.13363914,0.004402029,Tanh,MAE,10
103,59.96301027,44.44329712,778.9684251,667.0067062,No Action,High CPU Usage,CNN,9.916366055,50.66563385,32.05874911,46.55823362,No Action,99.54124485,Reactive,74.67156854,0.006781734,Sigmoid,MSE,6
104,87.48371657,86.00910154,434.2040269,589.3793548,Scale Up,High Network Traffic,LSTM,8.943060704,86.09408624,1.105963236,1.435500224,No Action,63.84208785,Threshold-based,32.74051667,0.00172137,Tanh,Cross-Entropy,35
105,75.87875513,44.18060057,603.1187964,402.8795706,Scale Up,High Network Traffic,RNN,10.84195826,90.10055372,93.49078364,22.11865054,Scale Down,40.22316264,Predictive,82.30074926,0.006548135,Sigmoid,Cross-Entropy,22
106,79.5848871,81.11004267,409.0806491,808.6757355,Scale Up,High Network Traffic,RNN,21.86574514,70.35747411,51.30640041,69.96561016,Scale Up,4.575566062,Predictive,60.74782533,0.003124246,Sigmoid,MAE,77
107,40.43083812,28.79353551,310.6123052,857.2894072,Scale Up,High CPU Usage,CNN,22.18614152,77.2152474,56.75015551,59.29659504,Scale Down,26.31314689,Predictive,19.27695859,0.005287943,Tanh,MAE,95
108,3.317309929,49.34330847,69.77460236,201.9895831,No Action,High CPU Usage,CNN,2.086100672,66.03967737,42.63139008,77.35179916,Scale Down,25.43793933,Reactive,84.34698767,0.001856343,Leaky ReLU,Cross-Entropy,58
109,78.22305543,31.98370652,618.6656389,997.5695609,Scale Up,High Memory Usage,RNN,21.44273864,88.17801001,94.23035163,78.32295366,Scale Down,76.27420767,Reactive,66.08277655,0.005467171,Tanh,Cross-Entropy,51
110,23.24996284,18.51556791,80.17212474,867.6203917,Scale Up,High Network Traffic,GAN,22.10722843,83.76775925,29.32317668,66.7407988,Scale Down,99.41964272,Reactive,6.638879663,0.007561984,Leaky ReLU,MAE,8
111,12.16752253,28.44242383,71.8966808,825.6875906,No Action,High Network Traffic,LSTM,20.23550757,80.82906624,78.28863277,55.35369992,Scale Down,43.23575743,Predictive,70.34315895,0.009362173,ReLU,MSE,56
112,44.85381459,19.915277,867.0384852,587.088295,No Action,High Memory Usage,RNN,3.701011979,86.65488002,82.53335382,65.65911898,Scale Down,55.74850815,Threshold-based,11.66783439,0.005028126,Leaky ReLU,Cross-Entropy,20
113,79.33776263,92.79876969,316.7593136,35.54970292,Scale Up,High CPU Usage,CNN,6.521672896,96.05190301,63.41828015,82.44043958,Scale Down,74.05361293,Predictive,21.15640121,0.008662824,Sigmoid,MAE,5
114,70.03503265,3.251547296,860.0219622,920.3981846,Scale Up,High Network Traffic,RNN,14.90287492,75.01204613,21.36227971,79.1572996,Scale Down,29.84182797,Reactive,93.8636981,0.006469073,Sigmoid,Cross-Entropy,52
115,57.96157881,72.45195425,135.774002,718.4081356,No Action,High Memory Usage,GAN,16.62131122,69.50596937,87.39561776,89.79747977,Scale Up,45.37350117,Predictive,51.82640333,0.002332199,ReLU,MAE,67
116,95.96374189,70.55895644,480.9637694,670.5437718,Scale Down,High Network Traffic,CNN,17.20454608,56.39113449,28.50804055,68.76074912,Scale Down,2.275098397,Reactive,50.79455994,0.005138774,Tanh,MAE,64
117,26.82262919,70.41881335,77.64551536,508.3821637,Scale Down,High CPU Usage,CNN,16.59859945,55.17076956,26.86881661,65.94103301,No Action,67.38536983,Reactive,7.68376122,0.002218886,Leaky ReLU,MAE,83
118,6.986978473,8.133215847,316.0853198,768.8814396,No Action,High CPU Usage,GAN,15.97723994,56.39349941,96.004765,99.76366208,Scale Up,37.74718741,Predictive,30.72826499,0.009733598,Leaky ReLU,MAE,55
119,4.066320467,11.02269065,311.1699261,63.71205968,No Action,High Network Traffic,RNN,17.36616961,70.67814758,14.48971207,28.42286127,Scale Up,15.02051605,Predictive,39.82316033,0.008911585,Leaky ReLU,MAE,69
120,62.08202383,21.02833647,74.2214229,305.9254378,Scale Up,High Network Traffic,CNN,2.491950007,97.32862441,46.93828171,44.20716954,No Action,96.48985745,Threshold-based,74.36238996,0.004902834,Tanh,MSE,97
121,59.60654689,27.59185973,457.9112474,722.6437779,Scale Up,High CPU Usage,CNN,12.86318159,79.61564465,58.25183927,71.0561066,Scale Down,33.4599934,Predictive,98.82812225,0.002729038,Leaky ReLU,MAE,14
122,11.27840141,41.21749068,959.7809944,665.8789498,Scale Up,High Memory Usage,GAN,2.421178532,53.14792396,39.61281395,4.049001162,Scale Down,23.39308902,Predictive,13.58344525,0.001980158,ReLU,MAE,77
